,catid,parent_catid,name,display_name,level
0,11035567,0,Men Clothes,Thời Trang Nam,1
1,11035568,11035567,"Jackets, Coats & Vests",Áo Khoác,2
2,11035572,11035567,Suit Jackets & Blazers,Áo Vest và Blazer,2
3,11035578,11035567,Hoodies & Sweatshirts,"Áo Hoodie, Áo Len & Áo Nỉ",2
4,11035583,11035567,Jeans,Quần Jeans,2
5,11035584,11035567,Pants/Suits,Quần Dài/Quần Âu,2
6,11035590,11035567,Shorts,Quần Short,2
7,11035592,11035567,Tops,Áo,2
8,11035597,11035567,Tanks,Áo Ba Lỗ,2
9,11035598,11035567,Innerwear & Underwear,Đồ Lót,2
10,11035603,11035567,Sleepwear,Đồ Ngủ,2
11,11035604,11035567,Sets,Đồ Bộ,2
12,11035605,11035567,Socks,Vớ/Tất,2
13,11035606,11035567,Traditional Wear,Trang Phục Truyền Thống,2
14,11035611,11035567,Costumes,Đồ Hóa Trang,2
15,11035612,11035567,Occupational Attire,Trang Phục Ngành Nghề,2
16,11035613,11035567,Others,Khác,2
17,11035614,11035567,Men Jewelries,Trang Sức Nam,2
18,11035620,11035567,Eyewear,Kính Mắt Nam,2
19,11035625,11035567,Belts,Thắt Lưng Nam,2
20,11035626,11035567,"Neckties, Bow Ties & Cravats",Cà vạt & Nơ cổ,2
21,11035627,11035567,Additional Accessories,Phụ Kiện Nam,2
22,11035639,0,Women Clothes,Thời Trang Nữ,1
23,11035648,11035639,Pants & Leggings,Quần,2
24,11035652,11035639,Shorts,Quần đùi,2
25,11035656,11035639,Skirts,Chân váy,2
26,11035657,11035639,Jeans,Quần jeans,2
27,11035658,11035639,Dresses,Đầm/Váy,2
28,11035659,11035639,Wedding Dresses,Váy cưới,2
29,11035660,11035639,"Jumpsuits, Playsuits & Overalls",Đồ liền thân,2
30,11035665,11035639,"Jackets, Coats & Vests","Áo khoác, Áo choàng & Vest",2
31,11035672,11035639,Sweaters & Cardigans,Áo len & Cardigan,2
32,11035673,11035639,Hoodies & Sweatshirts,Hoodie và Áo nỉ,2
33,11035677,11035639,Sets,Bộ,2
34,11035682,11035639,Lingerie & Underwear,Đồ lót,2
35,11035692,11035639,Sleepwear & Pajamas,Đồ ngủ,2
36,11035640,11035639,Tops,Áo,2
37,11035730,11035639,Sportwear,Đồ tập,2
38,11035697,11035639,Maternity Wear,Đồ Bầu,2
39,11035705,11035639,Traditional Wear,Đồ truyền thống,2
40,11035711,11035639,Costumes,Đồ hóa trang,2
41,11035713,11035639,Fabric,Vải,2
42,11035726,11035639,Socks & Stockings,Vớ/ Tất,2
43,11035712,11035639,Others,Khác,2
44,11036030,0,Mobile & Gadgets,Điện Thoại & Phụ Kiện,1
45,11036031,11036030,Mobile Phones,Điện thoại,2
46,11036041,11036030,Tablets,Máy tính bảng,2
47,11036048,11036030,Powerbanks,Pin Dự Phòng,2
48,11036054,11036030,"Batteries, Cables & Charger","Pin Gắn Trong, Cáp và Bộ Sạc",2
49,11036060,11036030,"Cases, Covers, & Skins","Ốp lưng, bao da, Miếng dán điện thoại",2
50,11036064,11036030,Screen Protectors,Bảo vệ màn hình,2
51,11036074,11036030,Phone Holders & Selfie Sticks,Đế giữ điện thoại & Gậy Chụp hình,2
52,11036083,11036030,Memory Cards,Thẻ nhớ,2
53,11036084,11036030,Sims,Sim,2
54,11036091,11036030,Others,Khác,2
55,11036097,11036030,Telephones,Điện Thoại Bàn,2
56,11036194,0,"Moms, Kids & Babies",Mẹ & Bé,1
57,11036195,11036194,Baby Travel Essentials,Đồ dùng du lịch cho bé,2
58,11036204,11036194,Feeding Essentials,Đồ dùng ăn dặm cho bé,2
59,11036213,11036194,Maternity Accessories,Phụ kiện cho mẹ,2
60,11036217,11036194,Maternity Healthcare,Chăm sóc sức khỏe mẹ,2
61,11036222,11036194,Bath & Body Care,Đồ dùng phòng tắm & Chăm sóc cơ thể bé,2
62,11036233,11036194,Nursery,Đồ dùng phòng ngủ cho bé,2
63,11036240,11036194,Baby Safety,An toàn cho bé,2
64,11036248,11036194,Baby Food,Thực phẩm cho bé,2
65,11036253,11036194,Baby Healthcare,Chăm sóc sức khỏe bé,2
66,11036260,11036194,Diapering & Potty,Tã & bô em bé,2
67,11036266,11036194,Toys,Đồ chơi,2
68,11036277,11036194,Gift Sets & Packages,Bộ & Gói quà tặng,2
69,11036278,11036194,Others,Khác,2
70,11059299,11036194,Milk 24 months and ups,Sữa công thức trên 24 tháng,2
71,11059300,11036194,Milk Formula 0- 24 months,Sữa công thức 0-24 tháng tuổi,2
72,11036132,0,Consumer Electronics,Thiết Bị Điện Tử,1
73,11036160,11036132,Wearable Devices,Thiết bị đeo thông minh,2
74,11036167,11036132,Tivi Accessories,Phụ kiện tivi,2
75,11036172,11036132,Gaming & Console,Máy Game Console,2
76,11036182,11036132,Console Accessories,Phụ kiện Console,2
77,11036184,11036132,Video Games,Đĩa game,2
78,11036133,11036132,Accessories and spare parts,Linh phụ kiện,2
79,11036143,11036132,Earphones,Tai Nghe,2
80,11036135,11036132,Audio,Loa,2
81,11036151,11036132,Tivi,Tivi,2
82,11036157,11036132,Tivi Box,Tivi Box,2
