stt,match_ids,by,item_type,foody_item,catid,is_category_failed,name
0,11035567,relevancy,1,,100011,False,[Mã 154FASHIONSALE giảm 12% đơn 99K] Áo thun nam POLO trơn vải cá sấu cotton cao cấp ngắn tay cực sang trọng
1,11035567,relevancy,1,,100011,False,Mũ lưỡi trai ❤️ Nón kết thêu chữ Memorie phong cách Ulzzang form unisex nam nữ N01
2,11035567,relevancy,1,,100011,False,Quần ngủ nam nữ thun cotton mềm mát (45-90kg)
3,11035567,relevancy,1,,100011,False,"Quần áo phòng dịch đi máy bay chất dày dặn, bộ đồ bảo hộ phòng dịch đã kiểm định"
4,11035567,relevancy,1,,100011,False,"Bộ Nam Hè Thể Thao Chất Thun Lạnh , Mẫu Mới Đẹp Chất ( Bộ Cúc 01 )"
5,11035567,relevancy,1,,100011,False,Tất ngắn nam Vớ thấp cổ 4 màu trơn chống hôi chân
6,11035567,relevancy,1,,100011,False,Bộ Quần Áo Mặc Nhà Thể Thao Nam Mùa Hè Phong Cách Cao Cấp ZERO
7,11035567,relevancy,1,,100011,False,"Áo sơ mi tay ngắn nam nữ form rộng sơ mi cổ vest unisex tay lỡ, chất vải lụa mịn chống nhăn"
8,11035567,relevancy,1,,100011,False,"Quần lót nam co giãn đủ size M - 3XL, quần sịp nam chéo tam giác  nhiều màu đẹp Giao ngẫu nhiên"
9,11035567,relevancy,1,,100011,False,"Áo Lót Nam Cotton Có Tay Mặc Ở Nhà , Áo Đông Xuân Nam Cộc Tay Bộ Đội Trắng Siêu Rẻ Siêu Đẹp"
10,11035567,relevancy,1,,100011,False,"Quần short nam nhiều màu đủ size M - 3XL, Quần đùi nam thể thao lửng ngố Chất đẹp phong cách hàn quốc mẫu mới 2022"
11,11035567,relevancy,1,,100011,False,Quần lót nam hàng hiệu 4 chiều Dư xịn (có che tên SP )
12,11035567,relevancy,1,,100011,False,"Quần baggy nam ống rộng vải Hàn cao cấp, quần tây âu co giãn tốt Premium thời trang JBAGY - JBA01"
13,11035567,relevancy,1,,100011,False,Quần Kaki Nam Nữ Ống Suông Basic Unisex - Kiểu quần baggy nam ống rộng màu đen và be Leevin Store
14,11035567,relevancy,1,,100011,False,"(Hàng Xuất Xịn) Quần đùi nam, Quần Đũi Nam ( Mát - Nhẹ Như Không)"
15,11035567,relevancy,1,,100017,False,"Set Đồ Bộ Bóng Rổ Nam Nữ Mẫu Số 23 Phong Cách Ulzzang- Lapi Vn, Phom Unisex, Freesize Chất Cotton Không Phai"
16,11035567,relevancy,1,,100011,False,Quần Đùi Nam FASVIN Vải Gió Đẹp Hàng Nhà Máy Chất Lượng Cao Thể Thao Hay Mặc Nhà Q21475.HN
17,11035567,relevancy,1,,100011,False,"Quần đùi nam GUZADO Thể Thao Chất Vải Gió Chun Mềm Mại,Co Giãn Vận Động Thoải Mái GSR01"
18,11035567,relevancy,1,,100011,False,"Áo ba lỗ thun gân ,form body tôn dáng"
19,11035567,relevancy,1,,100011,False,Áo thun Unisex N7 Basic Tee phông trơn nam nữ tay lỡ oversize form rộng 12 màu
